磨头目数 #	抛磨力 N	电主轴转速 rpm	给进速度 mm/s	粗糙度 um
120	15	6000	10	0.390 	390
240	15	6000	10	0.341 	341
120	25	6000	10	0.378 	378
240	25	6000	10	0.286 	286
120	15	10000	10	0.381 	381
240	15	10000	10	0.297 	297
120	25	10000	10	0.468 	468
240	25	10000	10	0.292 	292
120	15	6000	20	0.459 	459
240	15	6000	20	0.423 	423
120	25	6000	20	0.418 	418
240	25	6000	20	0.374 	374
120	15	10000	20	0.409 	409
240	15	10000	20	0.357 	357
120	25	10000	20	0.362 	362
240	25	10000	20	0.379 	379
120	20	8000	15	0.462 	462
240	20	8000	15	0.412 	412
180	15	8000	15	0.441 	441
180	25	8000	15	0.369 	369
180	20	6000	15	0.393 	393
180	20	10000	15	0.415 	415
180	20	8000	10	0.329 	329
180	20	8000	20	0.432 	432
180	20	8000	15	0.397 	397
180	20	8000	15	0.397 	397
180	20	8000	15	0.414 	414
180	20	8000	15	0.400 	400
180	20	8000	15	0.404 	404
180	20	8000	15	0.404 	404
